,OPER_CAP,SUMMER_CAP,WINTER_CAP,PLAN_CAP,RETIRE_CAP,GEN_UNITS,PLAN_UNIT,RETIR_UNIT,PRIM_FUEL,SEC_FUEL,COAL_USED,NGAS_USED,OIL_USED,CAP_FACTOR,LINES
1916,1300.0,1158.0,1180.0,0.0,0.0,2,0,0,RC,NOT AVAILABLE,3608665,0,6261,0.609319821,1
1917,2.8,2.8,2.8,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.174045988,0
1918,13.0,11.1,12.0,0.0,11.3,2,0,5,NG,NOT AVAILABLE,0,1012917,0,0.82861286,0
1919,60.0,59.0,59.0,0.0,0.0,1,0,0,WND,NOT AVAILABLE,0,0,0,0.261396177,1
1920,2.0,2.0,2.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.207477169,0
1921,0.0,0.0,0.0,0.0,58.2,0,0,3,BIT,DFO,0,0,0,0.0,1
1922,2.0,2.0,2.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.005079909,0
1923,101.2,101.2,101.2,0.0,0.0,1,0,0,WND,NOT AVAILABLE,0,0,0,0.32401141,0
1924,5.0,5.0,5.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.206917808,0
1925,1.8,1.8,1.8,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.156773212,0
1926,5.0,5.0,5.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.200114155,0
1927,215.2,208.2,213.2,0.0,25.0,8,0,1,NG,DFO,0,1143323,447,0.06443411,1
1928,1.0,1.0,1.0,0.0,0.0,1,0,0,WND,NOT AVAILABLE,0,0,0,0.22659817,0
1929,11.4,0.0,0.0,0.0,0.0,0,0,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
1930,47.0,45.0,45.0,0.0,0.0,1,0,0,NG,NG,0,93016,0,0.0215652,0
1931,1.2,1.2,1.2,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.103881279,0
1932,1.8,1.8,1.8,0.0,0.0,1,0,0,NG,NOT AVAILABLE,0,0,0,0.0,0
1933,8.9,7.4,7.9,0.0,0.0,7,0,0,DFO,NG,0,167,37,0.000539923,0
1934,3.7,3.7,2.9,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.151394545,0
1935,0.0,0.0,0.0,0.0,2.2,0,0,2,WND,NOT AVAILABLE,0,0,0,0.0,0
1936,4.0,1.8,1.7,0.0,0.0,6,0,0,DFO,WND,0,0,0,0.022006596,0
1937,0.0,0.0,0.0,0.0,3.3,0,0,3,LFG,NOT AVAILABLE,0,0,0,0.0,0
1938,39.9,38.3,38.3,0.0,0.0,1,0,0,WND,NOT AVAILABLE,0,0,0,0.337810127,0
1939,5.0,5.0,5.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.214406393,0
1940,4.9,4.9,4.9,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.211466778,0
1941,16.0,16.0,16.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.209603311,0
1942,293.5,223.0,223.0,0.0,0.0,4,0,0,RC,SUB,552782,22523,1478,0.272339111,1
1943,4.1,4.3,3.9,0.0,7.6,1,0,2,NG,NOT AVAILABLE,0,379261,0,0.615987045,0
1944,3.0,2.7,2.7,0.0,0.0,3,0,0,LFG,NOT AVAILABLE,0,0,0,1.026974463,0
1945,20.0,20.0,20.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.24260274,0
1946,1.9,1.9,1.9,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.180665705,0
1947,5.0,5.0,5.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.191164384,0
1948,8.6,8.6,8.6,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.163056175,0
1949,20.0,20.0,20.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.24260274,0
1950,40.0,40.0,40.0,0.0,0.0,1,0,0,WND,NOT AVAILABLE,0,0,0,0.198341895,1
1951,1.1,1.1,1.1,0.0,0.0,4,0,0,SUN,NOT AVAILABLE,0,0,0,0.149335824,0
1952,15.0,17.0,18.0,0.0,0.0,2,0,0,WDL,WDS,0,0,61377,0.81610932,1
1953,15.0,17.9,17.9,0.0,0.0,1,0,0,WAT,NOT AVAILABLE,0,0,0,0.168082447,1
1954,0.0,0.0,0.0,188.5,0.0,0,1,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
1955,3.1,2.0,0.6,0.0,0.0,1,0,0,WAT,NOT AVAILABLE,0,0,0,0.586815068,0
1956,3.0,3.0,3.0,0.0,0.0,3,0,0,SUN,NOT AVAILABLE,0,0,0,0.055936073,0
1957,1.0,1.0,1.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.203995434,0
1958,5.0,5.0,5.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.185251142,0
1959,1.5,1.5,1.5,0.0,0.0,1,0,0,WND,NOT AVAILABLE,0,0,0,0.219863014,0
1960,836.1,841.7,898.0,0.0,0.0,4,0,0,NG,OG,0,37818721,0,0.703828087,1
1961,55.8,39.0,54.0,0.0,0.0,3,0,0,DFO,NOT AVAILABLE,0,0,212,0.00019904,1
1962,0.0,0.0,0.0,1.0,0.0,0,1,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
1963,3.2,3.2,3.2,0.0,0.0,2,0,0,LFG,NOT AVAILABLE,0,0,0,0.904787386,0
1964,1.0,1.0,1.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.01803653,0
1965,2.0,2.0,2.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.190468037,0
1966,2.0,1.3,1.3,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.176765016,0
1967,2.1,2.1,2.1,0.0,0.0,3,0,0,NG,DFO,0,0,0,0.0,0
1968,1.0,1.0,1.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.200913242,0
1969,297.5,297.5,297.5,0.0,0.0,2,0,0,WND,NOT AVAILABLE,0,0,0,0.268557999,1
