,OPER_CAP,SUMMER_CAP,WINTER_CAP,PLAN_CAP,RETIRE_CAP,GEN_UNITS,PLAN_UNIT,RETIR_UNIT,PRIM_FUEL,SEC_FUEL,COAL_USED,NGAS_USED,OIL_USED,CAP_FACTOR,LINES,NET_GEN
1648,1.0,1.0,1.0,0.0,0.0,1,0,0,WAT,NOT AVAILABLE,0,0,0,0.490410959,0,4296.0
1649,2.4,2.4,2.4,0.0,0.0,3,0,0,LFG,NOT AVAILABLE,0,0,0,0.822916667,0,17301.0
1650,8.3,7.0,12.0,0.0,0.0,1,0,0,NG,NOT AVAILABLE,0,862847,0,1.100965753,0,67511.22
1651,0.0,0.0,0.0,0.0,2.7,0,0,5,NG,NOT AVAILABLE,0,0,0,0.0,0,0.0
1652,31.0,24.0,26.0,0.0,0.0,2,0,0,OG,NG,0,1462938,0,0.523829909,1,110130.0
1653,52.5,61.9,67.9,0.0,0.0,3,0,0,BFG,OG,0,0,0,0.859686779,1,466159.998
1654,161.0,161.0,150.0,0.0,70.0,1,0,1,BFG,NG,0,10691176,3711,0.919002243,1,1296124.004
1655,25.0,20.0,20.0,0.0,0.0,1,0,0,WDS,NOT AVAILABLE,0,0,0,0.268082192,1,46968.0
1656,10.5,10.5,10.5,0.0,0.0,3,0,0,WAT,NOT AVAILABLE,0,0,0,0.563589911,1,51839.0
1657,65.3,55.9,65.2,0.0,0.0,3,0,0,NG,DFO,0,38464,0,0.008374789,1,4101.0
1658,13.5,12.9,12.5,0.0,0.0,4,0,0,WAT,NOT AVAILABLE,0,0,0,0.570094864,0,64423.0
1659,4.4,4.2,4.0,0.0,0.0,2,0,0,WAT,NOT AVAILABLE,0,0,0,0.442650576,0,16286.0
1660,0.0,0.0,0.0,0.0,14.0,0,0,1,WDS,NOT AVAILABLE,0,0,0,0.0,1,40728.0
1661,94.0,83.0,83.0,0.0,0.0,1,0,0,WC,NOT AVAILABLE,67972,0,1476,0.082718545,1,60143.0
1662,0.0,0.0,0.0,0.0,3.1,0,0,4,LFG,NOT AVAILABLE,0,0,0,0.0,0,0.0
1663,0.0,0.0,0.0,0.0,1.2,0,0,2,LFG,NOT AVAILABLE,0,0,0,0.0,0,0.0
1664,72.3,58.5,72.3,0.0,0.0,2,0,0,BLQ,WDS,0,1356558,0,0.941493519,1,482477.769
1665,103.8,98.8,98.8,0.0,0.0,3,0,0,WDS,BLQ,26721,902160,5353,0.431181241,1,373182.19
1666,34.0,35.8,35.8,0.0,0.0,3,0,0,WDS,BLQ,26326,2776146,82093,0.659711082,1,206890.673
1667,47.6,40.7,40.7,0.0,0.0,1,0,0,BLQ,NG,2216,2444768,0,0.787808662,0,280878.998
1668,0.0,0.0,0.0,1.4,0.0,0,2,0,MWH,NOT AVAILABLE,0,0,0,0.0,0,0.0
1669,2.4,2.4,2.4,0.0,0.0,2,0,0,WAT,NOT AVAILABLE,0,0,0,0.055412861,0,1165.0
1670,70.0,60.0,60.0,0.0,253.0,1,0,1,NG,BIT,209117,1296091,0,0.971137747,1,510430.0
1671,85.3,76.0,81.0,0.0,32.0,5,0,2,NG,NOT AVAILABLE,0,12764311,0,0.452197534,0,301055.03
1672,47.0,42.0,42.0,0.0,0.0,2,0,0,MSW,NOT AVAILABLE,0,0,0,0.561219828,1,206483.999
1673,18.0,15.7,15.7,0.0,0.0,1,0,0,MSW,NOT AVAILABLE,0,13472,0,0.733094843,0,100824.0
1674,0.0,0.0,0.0,0.0,4.5,0,0,1,MSW,NOT AVAILABLE,0,0,0,0.0,0,0.0
1675,14.0,12.0,12.0,0.0,0.0,1,0,0,MSW,NOT AVAILABLE,0,0,0,0.96130137,0,101052.0
1676,22.1,18.0,18.0,0.0,0.0,1,0,0,MSW,NOT AVAILABLE,0,0,0,0.850805429,1,134155.0
